team_abbreviation_home,team_abbreviation_away,lambda_h,actual_home_pts,home_error,lambda_a,actual_away_pts,away_error,home_win
GSW,PHI,117.3198,119.0,1.6801986694335938,115.004776,107.0,-8.004776000976562,1
NYK,UTA,117.96856,118.0,0.0314407348632812,109.369934,103.0,-6.36993408203125,1
PHI,DAL,116.59986,102.0,-14.599861145019531,113.272064,118.0,4.727935791015625,0
ATL,HOU,123.048454,122.0,-1.0484542846679688,116.07674,113.0,-3.0767364501953125,1
BKN,SAS,116.8462,123.0,6.153800964355469,109.1086,103.0,-6.1085968017578125,1
ORL,OKC,108.62639,113.0,4.3736114501953125,109.1202,127.0,17.879798889160156,0
NOP,WAS,116.33112,133.0,16.66887664794922,108.89093,126.0,17.10906982421875,1
DET,ORL,107.893616,109.0,1.10638427734375,109.33119,112.0,2.668807983398437,0
SAC,MIA,111.47124,110.0,-1.4712371826171875,109.56406,121.0,11.435943603515623,0
CLE,DAL,111.78336,121.0,9.216636657714844,107.410675,119.0,11.589324951171877,1
ORL,UTA,114.21966,115.0,0.7803421020507812,112.030266,107.0,-5.030265808105469,1
MIA,UTA,114.04409,126.0,11.955909729003906,105.16995,120.0,14.830047607421877,1
SAS,IND,116.70471,117.0,0.2952880859375,119.02097,105.0,-14.020973205566406,1
LAL,OKC,113.657936,116.0,2.3420639038085938,114.54697,104.0,-10.546966552734377,1
DEN,BOS,107.49589,115.0,7.504112243652344,107.201195,109.0,1.7988052368164062,1
PHI,NOP,109.80757,95.0,-14.807571411132812,109.55277,103.0,-6.552772521972656,0
GSW,SAS,115.99872,113.0,-2.99871826171875,109.64444,126.0,16.355560302734375,0
ATL,NOP,110.5871,103.0,-7.58709716796875,112.16384,116.0,3.8361587524414062,0
MIA,DEN,109.22255,88.0,-21.22254943847656,103.51022,100.0,-3.510223388671875,0
CHA,PHX,107.882706,96.0,-11.882705688476562,107.04882,107.0,-0.0488204956054687,0
UTA,ATL,114.01592,124.0,9.98407745361328,111.71601,122.0,10.28398895263672,1
LAC,ATL,111.468575,93.0,-18.46857452392578,107.28501,110.0,2.7149887084960938,0
LAL,ATL,111.012405,136.0,24.987594604492188,111.08759,105.0,-6.087593078613281,1
SAC,MEM,112.50661,121.0,8.493392944335938,102.58498,111.0,8.415023803710938,1
WAS,HOU,111.29931,114.0,2.7006912231445312,111.89573,137.0,25.104270935058597,0
GSW,MEM,113.261856,137.0,23.73814392089844,101.87138,116.0,14.128616333007812,1
OKC,UTA,121.72658,119.0,-2.7265777587890625,110.73975,107.0,-3.7397537231445312,1
TOR,OKC,113.39317,103.0,-10.393173217773438,112.54567,123.0,10.454330444335938,0
MIA,NOP,105.16414,88.0,-17.164138793945312,105.2294,111.0,5.770599365234375,0
UTA,DAL,112.66863,105.0,-7.668632507324219,114.85725,115.0,0.1427536010742187,0
DEN,MEM,113.187836,128.0,14.812164306640623,103.250336,103.0,-0.250335693359375,1
SAC,PHI,108.89965,108.0,-0.8996505737304688,103.608246,96.0,-7.608245849609375,1
NOP,BOS,105.941154,92.0,-13.941154479980469,108.09166,104.0,-4.0916595458984375,0
NYK,OKC,110.346054,112.0,1.6539459228515625,107.73419,113.0,5.26580810546875,0
WAS,MIL,114.249344,117.0,2.7506561279296875,124.59138,113.0,-11.59137725830078,1
DEN,ATL,116.12152,142.0,25.87847900390625,104.06704,110.0,5.932960510253906,1
CHA,DAL,102.22583,104.0,1.774169921875,111.73918,130.0,18.260818481445312,0
CHI,NYK,103.682175,117.0,13.317825317382812,110.68279,128.0,17.31720733642578,0
OKC,SAC,114.16913,112.0,-2.16912841796875,109.42987,105.0,-4.42987060546875,1
MIN,ATL,114.12156,109.0,-5.121559143066406,106.819214,106.0,-0.8192138671875,1
SAS,DEN,110.425064,121.0,10.574935913085938,112.44102,120.0,7.558982849121094,1
HOU,CHA,114.474236,105.0,-9.474235534667969,114.57985,110.0,-4.579849243164063,0
ATL,BKN,116.82631,120.0,3.173690795898437,116.8257,116.0,-0.8256988525390625,1
NOP,CHI,110.03605,123.0,12.963951110839844,111.409485,111.0,-0.40948486328125,1
MEM,ORL,101.58587,124.0,22.41413116455078,101.200775,111.0,9.799224853515623,1
MIN,TOR,114.27577,112.0,-2.2757720947265625,106.50083,101.0,-5.500831604003906,1
CHI,OKC,103.91535,95.0,-8.915351867675781,104.324646,114.0,9.67535400390625,0
OKC,ATL,110.16662,128.0,17.83338165283203,106.447014,104.0,-2.4470138549804688,1
POR,NOP,108.17875,125.0,16.821250915527344,108.70152,103.0,-5.7015228271484375,1
GSW,LAC,114.72796,104.0,-10.72795867919922,105.11937,112.0,6.880630493164063,0
MEM,CHI,108.354225,123.0,14.645774841308594,109.248795,126.0,16.751205444335938,0
SAS,HOU,118.637375,101.0,-17.637374877929688,112.585495,106.0,-6.585494995117188,0
DAL,UTA,111.63118,110.0,-1.6311798095703125,103.280716,102.0,-1.2807159423828125,1
TOR,DEN,103.7669,125.0,21.23310089111328,106.86323,127.0,20.13677215576172,0
BKN,DEN,109.29496,139.0,29.705039978027344,109.56217,144.0,34.437828063964844,0
MIN,DAL,107.38533,114.0,6.614669799804688,104.52542,120.0,15.474578857421877,0
GSW,NOP,116.43024,104.0,-12.43023681640625,101.22148,89.0,-12.221481323242188,1
CHA,TOR,112.94108,138.0,25.058921813964844,109.491875,133.0,23.50812530517578,1
CHI,ORL,105.87601,102.0,-3.876007080078125,102.555,99.0,-3.555000305175781,1
CLE,LAL,105.88297,134.0,28.117027282714844,110.255325,110.0,-0.2553253173828125,1
PHI,DET,112.90753,95.0,-17.90753173828125,98.38775,105.0,6.612251281738281,0
OKC,SAS,111.19099,105.0,-6.190986633300781,110.48268,93.0,-17.482681274414062,1
IND,BOS,108.19031,135.0,26.8096923828125,112.503555,132.0,19.49644470214844,1
UTA,SAS,110.63821,88.0,-22.638206481933597,109.95549,106.0,-3.955490112304688,0
LAC,PHX,109.81213,119.0,9.1878662109375,106.73846,125.0,18.26154327392578,0
MEM,MIL,114.411644,122.0,7.588356018066406,112.25041,99.0,-13.250411987304688,1
ATL,SAC,114.72336,115.0,0.276641845703125,115.028854,123.0,7.9711456298828125,0
NOP,IND,114.90063,125.0,10.099372863769531,109.16178,118.0,8.838218688964844,1
BKN,CHI,108.67566,120.0,11.3243408203125,109.658295,112.0,2.341705322265625,1
TOR,LAL,113.93278,125.0,11.067222595214844,108.82122,131.0,22.17877960205078,0
CHA,BOS,107.48497,103.0,-4.4849700927734375,112.50988,113.0,0.4901199340820312,0
TOR,SAC,110.95705,131.0,20.042953491210938,107.1457,128.0,20.85430145263672,1
PHI,MEM,110.17592,107.0,-3.1759185791015625,106.36578,124.0,17.63421630859375,0
DAL,ORL,101.85857,108.0,6.1414337158203125,101.65283,85.0,-16.65283203125,1
NOP,ATL,113.58209,111.0,-2.58209228515625,110.719475,126.0,15.280525207519531,0
ATL,BOS,109.69406,93.0,-16.694061279296875,119.29501,123.0,3.704986572265625,0
CHI,UTA,112.96623,126.0,13.033767700195312,108.808815,135.0,26.191184997558597,0
WAS,GSW,111.4673,112.0,0.5326995849609375,121.84516,125.0,3.1548385620117188,0
MIA,SAC,105.8756,110.0,4.124397277832031,109.393875,111.0,1.6061248779296875,0
DAL,IND,112.800606,127.0,14.19939422607422,105.5846,134.0,28.41539764404297,0
BKN,MEM,111.51951,106.0,-5.519508361816406,109.74377,104.0,-5.743766784667969,1
HOU,NYK,110.22053,109.0,-1.2205276489257812,105.47063,97.0,-8.470626831054688,1
DET,LAL,109.05685,115.0,5.943153381347656,110.55051,103.0,-7.550506591796875,1
MIN,CHA,113.58745,114.0,0.4125518798828125,112.61508,93.0,-19.61508178710937,1
OKC,ORL,107.25759,102.0,-5.257591247558594,99.89173,86.0,-13.891731262207031,1
DEN,TOR,114.338455,121.0,6.661544799804688,107.851845,119.0,11.148155212402344,1
PHX,PHI,108.58584,118.0,9.414161682128906,107.12353,116.0,8.876472473144531,1
NOP,POR,114.50863,100.0,-14.508628845214844,106.98039,118.0,11.019607543945312,0
LAC,PHI,107.29289,110.0,2.7071075439453125,108.54298,98.0,-10.542976379394531,1
NOP,CLE,106.060036,122.0,15.939964294433594,108.125946,131.0,22.874053955078125,0
DAL,CHI,108.747765,119.0,10.252235412597656,105.45664,99.0,-6.456642150878906,1
SAC,TOR,117.7833,122.0,4.216697692871094,111.70962,107.0,-4.709617614746094,1
PHX,MIA,106.77404,115.0,8.225959777832031,103.26643,112.0,8.733566284179688,1
BOS,GSW,111.22848,112.0,0.7715225219726562,108.42131,118.0,9.578689575195312,0
MIL,UTA,116.72174,123.0,6.27825927734375,111.38102,100.0,-11.381019592285156,1
CHI,MIN,111.74259,119.0,7.257408142089844,112.009544,135.0,22.990455627441406,0
ORL,NOP,105.13115,115.0,9.868850708007812,108.597336,88.0,-20.597335815429688,1
CLE,GSW,105.64493,136.0,30.35507202148437,110.493484,117.0,6.506515502929688,1
MEM,WAS,118.834625,128.0,9.165374755859377,109.09658,104.0,-5.096580505371094,1
CHA,IND,112.50811,103.0,-9.50811004638672,112.50865,83.0,-29.50865173339844,1
DEN,MIA,105.73635,135.0,29.263648986816406,104.69052,122.0,17.309478759765625,1
LAL,PHI,109.46061,116.0,6.539390563964844,112.48977,106.0,-6.489768981933594,1
LAC,TOR,114.46223,105.0,-9.46222686767578,107.94332,103.0,-4.943321228027344,1
POR,MEM,110.95588,89.0,-21.95587921142578,113.70369,134.0,20.296310424804688,0
LAL,TOR,114.30324,123.0,8.696762084960938,114.91614,103.0,-11.9161376953125,1
DET,HOU,103.62504,99.0,-4.625038146972656,107.74981,101.0,-6.749809265136719,0
MIL,BOS,108.06213,107.0,-1.0621337890625,114.105064,113.0,-1.1050643920898438,0
MIN,MIA,106.42966,94.0,-12.429656982421877,105.02663,95.0,-10.026626586914062,0
OKC,GSW,112.76828,116.0,3.231719970703125,108.39071,127.0,18.60929107666016,0
OKC,LAC,112.434265,134.0,21.56573486328125,106.15232,128.0,21.847679138183597,1
HOU,WAS,115.30173,107.0,-8.301727294921875,106.13303,92.0,-14.133033752441406,1
NOP,BKN,109.99513,105.0,-4.995132446289063,111.09708,107.0,-4.097076416015625,0
BOS,ATL,116.47177,116.0,-0.471771240234375,108.39324,117.0,8.606758117675781,0
